sentence_id	sentence	label
MIS_702-curl_03_010	So far this year, the Sun has been “empty” with no sunspots 76% of the time, a rate that has only been exceeded once in the Space Age — last year, when it was 77% empty.	OBJ
MIS_560-curl_04_005	Avichai had published a blog post regarding the “The End” series, saying: “What is my position on the Ramadan series The End? This series does not deserve comment.”	OBJ
MIS_2265-eurl_03_022	A speech by Polisario representative Ahmed Bukhari on Monday stated that more than 36 Sahrawis were killed and 163 arrested.	OBJ
FAT_1139-eurl_01_023	4 questions that should be asked before believing the information	OBJ
MIS_427-curl_06_004	Mujahid stated that the minister was carrying, during that visit, a message of sympathy and condolences from President Abdel Fattah El-Sisi to our friends among the Italian people regarding the death of the victims of the new Corona virus, in addition to supporting the infected.	SUBJ
MIS_973-curl_02_005	But the social networking site saw the ad as a violation of its policy of rejecting hatred.	OBJ
MIS_2255-eurl_02_002	“The funeral of former Argentine player Diego Maradona took place on Thursday evening at the Bella Vista cemetery on the outskirts of Buenos Aires, following a solemn memorial service that ended in clashes between fans angry at not being able to take a last look at the “Golden Boy” and the police.	SUBJ
MIS_432-curl_02_007	As is known, the presence of ozone protects life on Earth from ultraviolet rays emanating from the sun.	OBJ
MIS_2255-eurl_02_014	In parallel with his farewell ceremony in Buenos Aires, sadness fell over the city of Naples, to which he came after a short and controversial trip with Barcelona, ​​putting its team at the top of the Italian League.	OBJ
MIS_19-curl_03_005	The duration of the storm will be about six days, during which people who suffer from allergies must refrain from excessive physical effort.	OBJ
AFP_903-curl_04_001	The marriage of Luxembourg Prime Minister Xavier Bettel to his friend Gauthier Destinay took place on Friday, and the celebration was attended by the liberal Prime Minister of Belgium, Charles Michel.	OBJ
MIS_1049-curl_03_010	The Scandinavian countries' dominance at the top of the list does not seem surprising, and according to the latest data, some of the worst countries for women have made gains.	OBJ
MIS_230-curl_05_011	Wash hands frequently with soap and water or an alcohol-based sanitizer.	OBJ
MIS_1532-eurl_01_045	After a tug of war, the National Council approved the ten-point program, which timidly indicates the PLO’s acceptance of a political solution according to which the PLO would establish its national authority over a part of the Palestinian land from which Israel would withdraw.	SUBJ
MIS_560-curl_04_015	They all talk about Israel and its global, economic, developmental and military position.	SUBJ
MIS_1503-curl_03_003	The Spanish club Barcelona decided to appoint Ronald Koeman as coach of the Netherlands national team to succeed Quique Setien, according to the Catalan newspaper “Mundo Deportivo”. Koeman is the most likely candidate to take over as coach of Barcelona to succeed Quique Setien, as club president Bartomeu made a phone call to the Windmills coach and the two parties reached a meeting. to a preliminary agreement.”	OBJ
MIS_1-curl_06_003	“Iceland gives $5,000 a month to every immigrant who marries Icelandic girls to increase offspring.” We received many messages on the page asking us about this topic.	OBJ
MIS_22-curl_01_012	The giant social media site recently monitored such accounts after being criticized in the past few years for admitting to the slowdown in developing tools to combat extremist content and propaganda operations.	OBJ
MIS_2941-eurl_02_027	The current situation and disagreement between European capitals indicates the weak desire for cooperation and coordination between them, and the absence of the authority of the European Commission.	SUBJ
AFP_696-eurl_03_019	Abu Naji confirms, smiling, that he and his assistants aspire to spread Islam in Germany, and he hopes that the Germans will embrace Islam, and at that time the Islamic state will appear naturally, but until then Muslims have to live there without the rule of Sharia, especially since its image and meanings are distorted in a way. By the media, it seems like an authoritarian approach.	OBJ
FAT_290-eurl_02_039	Ben Youssef is known for his work in roles mostly related to extremism and Islam.	OBJ
