sentence_id	sentence	sentence_translation	label
MIS_702-curl_03_010	"وحتى الآن هذا العام، كانت الشمس ""فارغة"" مع عدم وجود بقع شمسية 76% من الوقت، وهو معدل تم تجاوزه مرة واحدة فقط في عصر الفضاء - في العام الماضي، عندما كانت 77% فارغة."	So far this year, the Sun has been “empty” with no sunspots 76% of the time, a rate that has only been exceeded once in the Space Age — last year, when it was 77% empty.	label_value
MIS_560-curl_04_005	"وكان أفيخاي قد نشر تدوينة بشأن مسلسل النهاية قائلا فيها: ""ما موقفي من مسلسل ⁧‫النهاية‬⁩ الرمضاني؟ فهذا المسلسل لا يستحق التعليق."	Avichai had published a blog post regarding the “The End” series, saying: “What is my position on the Ramadan series The End? This series does not deserve comment.”	label_value
MIS_2265-eurl_03_022	وجاء في خطاب ممثل بوليساريو أحمد بخاري يوم الاثنين أن ما يزيد على 36 صحراويا قتلوا واعتقل 163.	In a speech by Polisario representative Ahmed Bukhari on Monday, it was stated that more than 36 Sahrawis were killed and 163 arrested.	label_value
FAT_1139-eurl_01_023	4 أسئلة ينبغي طرحها قبل تصديق المعلومة	4 questions that should be asked before believing the information	label_value
MIS_427-curl_06_004	وذكر مجاهد أن الوزيرة محملة خلال تلك الزيارة برسالة مواساة وتعازي من الرئيس عبدالفتاح السيسي لأصدقائنا من الشعب الإيطالي في وفاة ضحايا ڤيروس كورونا المستجد، بالإضافة إلى مساندة المصابين.	Mujahid stated that the minister was carrying, during that visit, a message of sympathy and condolences from President Abdel Fattah El-Sisi to our friends among the Italian people regarding the death of the victims of the new Corona virus, in addition to supporting the infected.	label_value
MIS_973-curl_02_005	لكن موقع التواصل الاجتماعى رأى أن الإعلان يمثل انتهاكا لسياسته الخاصة برفض الكراهية.	But the social networking site saw the ad as a violation of its policy of rejecting hatred.	label_value
MIS_2255-eurl_02_002	"تم تشييع جثمان اللاعب الأرجنتيني السابق دييغو مارادونا مساء الخميس في مقبرة بيلا فيستا بضواحي بوينس آيرس، عقب مراسم تأبين مهيبة انتهت باشتباكات بين جماهير غاضبة لعدم تمكنها من إلقاء النظرة الأخيرة على ""الفتى الذهبي"" والشرطة."	“The funeral of former Argentine player Diego Maradona took place on Thursday evening at the Bella Vista cemetery on the outskirts of Buenos Aires, following a solemn memorial service that ended in clashes between fans angry at not being able to take a last look at the “Golden Boy” and the police.	label_value
MIS_432-curl_02_007	وكما هو معلوم فوجود الأوزون يحمي الحياة على الأرض من الأشعة فوق البنفسجية المنبعثة من الشمس.	As is known, the presence of ozone protects life on Earth from ultraviolet rays emanating from the sun.	label_value
MIS_2255-eurl_02_014	وبموازاة مراسم وداعه في بوينس آيرس، خيم الحزن على مدينة نابولي التي جاء إليها بعد رحلة قصيرة وجدلية مع برشلونة فوضع فريقها على قمة الدوري الإيطالي.	In parallel with his farewell ceremony in Buenos Aires, sadness fell over the city of Naples, to which he came after a short and controversial trip with Barcelona, ​​putting its team at the top of the Italian League.	label_value
MIS_19-curl_03_005	وستكون مدة العاصفة حوالى ستة أيام، وخلال ذلك يجب على الأشخاص الذين يعانون من الحساسية، الامتناع عن بذل جهد بدنى مفرط.	The duration of the storm will be about six days, during which people who suffer from allergies must refrain from excessive physical effort.	label_value
AFP_903-curl_04_001	عقد زواج رئيس وزراء لوكسمبورغ كزافيه بيتيل على صديقه غوتيه دستيناي الجمعة، وقد حضر الاحتفال رئيس وزراء بلجيكا الليبرالي شارل ميشال.	The marriage of Luxembourg Prime Minister Xavier Bettel to his friend Gauthier Destinay took place on Friday, and the celebration was attended by the liberal Prime Minister of Belgium, Charles Michel.	label_value
MIS_1049-curl_03_010	لا تبدو سيطرة الدول الاسكندنافية على رأس القائمة مفاجئة، بل وفقاً لأحدث البيانات فإن بعض أسوأ البلدان بالنسبة للنساء قد حققت مكاسب.	The Scandinavian countries' dominance at the top of the list does not seem surprising, and according to the latest data, some of the worst countries for women have made gains.	label_value
MIS_230-curl_05_011	غسل اليدين بصفة متكررة بالماء والصابون أو بمطهر يحتوي على كحول.	Wash hands frequently with soap and water or an alcohol-based sanitizer.	label_value
MIS_1532-eurl_01_045	وبعد شد وجذب، وافق المجلس الوطني على برنامج النقاط العشر الذي يشير بخجل إلى قبول«م.ت.ف» بحل سياسي تقيم بموجبه «م.ت.ف» سلطتها الوطنية على جزء من الأرض الفلسطينية تنسحب عنه إسرائيل.	After a tug of war, the National Council approved the ten-point program, which timidly indicates the PLO’s acceptance of a political solution according to which the PLO would establish its national authority over a part of the Palestinian land from which Israel would withdraw.	label_value
MIS_560-curl_04_015	كلها تتحدث عن إسرائيل وموقعها العالمي والاقتصادي والتنموي والعسكري.	They all talk about Israel and its global, economic, developmental and military position.	label_value
MIS_1503-curl_03_003	"واستقر نادى برشلونة الإسبانى على تعيين رونالد كومان مدرب منتخب هولندا لخلافة كيكي سيتين حسبما ذكرت صحيفة ""موندو ديبورتيفو"" الكتالونية، فإن كومان هو المرشح الأوفر حظاً لتولى تدريب برشلونة خلفاً لكيكى سيتين، حيث أجرى بارتوميو رئيس النادى مكالمة هاتفية بمدرب الطواحين وتوصل الطرفان إلى اتفاق مبدئى."	The Spanish club Barcelona decided to appoint Ronald Koeman as coach of the Netherlands national team to succeed Quique Setien, according to the Catalan newspaper “Mundo Deportivo”. Koeman is the most likely candidate to take over as coach of Barcelona to succeed Quique Setien, as club president Bartomeu made a phone call to the Windmills coach and the two parties reached a meeting. to a preliminary agreement.”	label_value
MIS_1-curl_06_003	أيسلندا تمنح 5000 دولار شهرياً لكل مهاجر يتزوج من بنات أيسلندا لزياده النسل” وجالنا كتير من الرسائل علي الصفحة بتسألنا عن الموضوع ده”.	“Iceland gives $5,000 a month to every immigrant who marries Icelandic girls to increase offspring.” We received many messages on the page asking us about this topic.	label_value
MIS_22-curl_01_012	ورصد موقع التواصل الاجتماعي العملاق في الآونة الأخيرة مثل هذه الحسابات بعد تعرضه لانتقادات في السنوات القليلة الماضية لاعترافه بالتباطؤ في تطوير أدوات لمكافحة المحتوى المتطرف وعمليات الدعاية.	The giant social media site recently monitored such accounts after being criticized in the past few years for admitting to the slowdown in developing tools to combat extremist content and propaganda operations.	label_value
MIS_2941-eurl_02_027	يشير الوضع الحالي والخلاف بين العواصم الأوروبية إلى مدى ضعف الرغبة في التعاون والتنسيق بينها، وغياب سلطة المفوضية الأوروبية.	The current situation and disagreement between European capitals indicates the weak desire for cooperation and coordination between them, and the absence of the authority of the European Commission.	label_value
AFP_696-eurl_03_019	ويؤكد أبو ناجي مبتسما، بأنه يطمح - هو ومساعدوه- إلى نشر الإسلام في ألمانيا، ويأمل في أن يعتنق الألمان الإسلام، وساعتها ستظهر دولة الإسلام بشكل طبيعي، ولكن إلى حين ذلك على المسلمين أن يعيشوا هناك دون حكم الشريعة، خصوصا وأن صورتها ومعانيها تشوه بشكل كبير من طرف وسائل الإعلام، فتبدو وكأنها منهج سلطوي.	Abu Naji confirms, smiling, that he and his assistants aspire to spread Islam in Germany, and he hopes that the Germans will embrace Islam, and at that time the Islamic state will appear naturally, but until then Muslims have to live there without the rule of Sharia, especially since its image and meanings are distorted in a way. By the media, it seems like an authoritarian approach.	label_value
FAT_290-eurl_02_039	ويعرف بن يوسف في الأعمال التي أداها بأدوار تتعلق في الغالب بالتطرف والإسلام.	Ben Youssef is known for his work in roles mostly related to extremism and Islam.	label_value
MIS_702-curl_06_010	وانخفضت درجات الحرارة وقتها بما يصل إلى درجتين مئويتين (35.6 درجة فهرنهايت) على مدى 20 عامًا، مما أدى إلى تدمير إنتاج الغذاء في العالم.	Temperatures then dropped by as much as 2 degrees Celsius (35.6 degrees Fahrenheit) over 20 years, devastating the world's food production.	label_value
AFP_29-eurl_02_019	"وتعتزم ""أوكسفام"" بفرعها الفرنسي وجمعية ""نوتر أفير آ توس"" أن تحذو حذوهما، في سياق أول إجراء قضائي بهذا الحجم يتّخذ في فرنسا بشأن المناخ."	“Oxfam”, with its French branch, and the “Notre Affaires a Tous” association intend to follow suit, in the context of the first judicial action of this size taken in France regarding climate.	label_value
MIS_1486-eurl_02_009	منتخب هولندا يتجاوز نظيره السنغالي بثنائية نظيفة تخطى منتخب هولندا نظيره منتخب السنغال (2-0) لحساب المجموعة الأولى من منافسات كأس العالم FIFA قطر 2022™ على أرضية ملعب الثمامة الإثنين.	The Netherlands team surpasses its Senegalese counterpart by a clean double. The Netherlands team surpasses its Senegal counterpart (2-0) for the first group of the FIFA World Cup Qatar 2022™ competitions on the grounds of Al Thumama Stadium on Monday.	label_value
AFP_345-eurl_01_015	"وقال الوزير ""سنلبي أولا حاجيات مواطنينا وبعد ذلك حاجيات كل أصدقائنا بما في وسعنا""."	“We will first meet the needs of our citizens and then the needs of all our friends to the best of our ability,” the minister said.	label_value
AFP_674-eurl_03_011	ثم اعقتل سنة 1979 مرة أخرى وبقي في السجن لمدة سنة ثم أفرج عنه.	Then he was arrested again in 1979, remained in prison for a year, and then was released.	label_value
MIS_239-curl_05_005	وأوضح أنه تم الاطلاع على منطقه العزل في معبر رفح والمرافق الأخرى المتعلقة بهذا الموضوع، لتقييم جهوزيتها، لحماية أبناء الشعب الفلسطيني والحيلولة دون وصول هذا الفيروس إلى فلسطين، لافتا إلى وجود 5 مواطنين في منطقة العزل للقادمين إلى قطاع غزة عبر معبر رفح.	He explained that the isolation area at the Rafah crossing and other facilities related to this issue were reviewed, to assess their readiness, to protect the Palestinian people and prevent this virus from reaching Palestine, pointing out that there are 5 citizens in the isolation area for those coming to the Gaza Strip through the Rafah crossing.	label_value
AFP_584-eurl_02_022	ونددت منظمة العفو الدولية مرارا خلال الأشهر الأخيرة بالتوقيفات التعسفية والمكثفة بحق المعارضين السياسيين لنظام السيسي.	In recent months, Amnesty International has repeatedly denounced the arbitrary and massive arrests of political opponents of the Sisi regime.	label_value
MIS_2120-curl_04_003	وقال إن الحسابات أزيلت من على الشبكة الاجتماعية.	He said that the accounts were removed from the social network.	label_value
MIS_239-curl_04_034	"وتابع ""تم إبلاغ منظمة الصحة العالمية، كما تم اتخاذ إجراءات وتدابير وقائية للحالة بالتعاون معها""."	He continued, “The World Health Organization has been informed, and preventive measures and procedures have been taken regarding the case in cooperation with it.”	label_value
AFP_887-eurl_01_019	وقال المتحدث الأمني في وزارة الداخلية إن التحقيقات الأمنية ما زالت جارية للتثبت من علاقة الخلية التي خططت لمحاولة استهداف المصلين بمسجد الدمام، بالخلية التي استهدفت المصلين في مسجد القديح، مؤكدا أن التنظيمات الإرهابية تستدرج صغار السن، نتيجة ضعف المعلومات الشرعية التي يمتلكونها، وبالتالي يصبحون أدوات لتنفيذ مخططاتهم الإرهابية.	The security spokesman at the Ministry of Interior said that security investigations are still underway to verify the relationship of the cell that planned to try to target the worshipers at the Dammam Mosque, with the cell that targeted the worshipers at the Al-Qudaih Mosque, stressing that terrorist organizations lure young people, as a result of the weakness of the legitimate information they possess, and thus they become tools. To carry out their terrorist plans.	label_value
AFP_614-eurl_08_014	وانتقد نافعة كذلك القبضة الحديد التي يقود بها السيسي البلاد.	Nafaa also criticized the iron fist with which Sisi is leading the country.	label_value
MIS_561-curl_02_013	"واحتلت إسرائيل المرتبة 88 في القائمة، فيما دئب رئيس الوزراء بنامين نتانياهو وداعموه على مهاجمة المؤسسات الخبرية واتهامها ببث أخبار كاذبة ودعاية يسارية، إلى درجة أن أحد الصحفيين الإسرائيليين الذي كشف عن قصة فضيحة الفساد، أجبر على طلب حارس شخصي يحميه ويحفظ سلامته، والكلام دائما لتقرير ""مراسلون بلا حدود""."	“Israel ranked 88th on the list, while Prime Minister Benjamin Netanyahu and his supporters continued to attack news organizations and accuse them of broadcasting false news and leftist propaganda, to the point that one of the Israeli journalists who revealed the story of the corruption scandal was forced to request a bodyguard to protect him and maintain his safety, and to always speak out.” For a report by “Reporters Without Borders.”	label_value
AFP_637-eurl_01_007	"أضافت والدة الشهيد لـ""الوطن"": ""في يوم الجنازة وقفت إحدى السيدات بجواري وقالت لي: أنتي متعرفنيش بس أنا اعرف الشهيد، أنا كنت بجهز عرايس يتامى، وكان خالد الله يرحمه بييجي كل شهر يديني مبلغ كبير أجيب به حاجه في جهازهم، وفي إحدى المرات طلبت منه مساعدة سيدة مسنة تركها أبنائها ومحدش بيسال عنها، أخذ عنوانها وذهب إليها وقال لها: يا أمي اعتبريني ابنك، ومن اليوم أنتي مسؤولة مني، وكل إجازة يأتي فيها كان يحضر لها احتياجاتها الشهرية من مأكل وملبس وعلاج""."	The martyr’s mother added to “Al-Watan”: “On the day of the funeral, one of the women stood next to me and said to me: You don’t know me, but I know the martyr. I used to prepare brides for orphans, and Khalid, may God have mercy on him, used to come every month and give me a large amount to pay for something I need.” Their device, and one time I asked him to help an elderly woman whose children had left her and no one was asking about her. He took her address and went to her and said to her: “Mother, consider me your son, and from today you are responsible for me, and every vacation he took, he would bring her her monthly needs of food, clothing, and treatment.” "	label_value
AFP_425-eurl_04_011	وكلمة الملكة في الظروف الاستثنائية هي الأولى منذ وفاة والدتها في 2002.	The Queen's speech in exceptional circumstances is the first since her mother's death in 2002.	label_value
MIS_1280-curl_01_002	بعد تحويلها إلى مسجد، شارك الرئيس التركي رجب طيب أردوغان الجمعة بأول صلاة للمسلمين في كنيسة آيا صوفيا السابقة في إسطنبول.	After converting it into a mosque, Turkish President Recep Tayyip Erdogan participated on Friday in the first Muslim prayer in the former Hagia Sophia church in Istanbul.	label_value
AFP_887-eurl_01_011	وأكد المتحدث الأمني في وزارة الداخلية أن الجهات الأمنية ستواصل جهودها في ملاحقة وتعقب كل من له صلة بهذا العمل الإجرامي ممن سلموا عقولهم لشعارات وإملاءات جهات لا تريد الخير بالوطن والمواطنين وتسعى إلى نقض عرى الأخوة والقربى التي سادت مجتمعنا منذ عهد المؤسس الملك عبد العزيز.	The security spokesman at the Ministry of Interior confirmed that the security authorities will continue their efforts to pursue and track down everyone connected to this criminal act who have surrendered their minds to the slogans and dictates of parties that do not want good for the country and the citizens and seek to break the bonds of brotherhood and kinship that have prevailed in our society since the era of the founder, King Abdul Aziz.	label_value
FAT_1118-eurl_02_003	وتسلم محمد حاجي الخوري المدير العام لمؤسسة خليفة الإنسانية شيك التبرع من عواطف عبدالرحيم الهرمودي مدير عام الجودة التشغيلية والعمليات في «الإمارات الإسلامي».	Mohammed Haji Al Khouri, Director General of the Khalifa Humanitarian Foundation, received the donation check from Awatif Abdul Rahim Al Harmoudi, General Manager of Operational Quality and Operations at Emirates Islamic.	label_value
